date,product,region,customer_id,customer_type,salesperson,quantity,price,discount,revenue
2023-01-01,Product A,South,CUST1405,returning,Mike Brown,3,95.87926068297133,0.09423870191022332,260.53117084828864
2023-01-01,Product A,East,CUST2886,returning,Emily Davis,2,93.82508148144636,0.08733108732577283,171.26247019448482
2023-01-01,Product B,East,CUST3470,returning,John Smith,2,211.47688718692177,0.04039778763265483,405.86737761825924
2023-01-01,Product A,East,CUST3901,returning,Emily Davis,2,110.02393826976507,0.026084924596208894,214.3079442724406
2023-01-01,Product A,East,CUST4829,new,Sarah Johnson,4,94.19189158625555,0.09539452124937761,340.8260047312457
2023-01-01,Product A,North,CUST2136,new,Emily Davis,3,93.50460685614512,0.016829104217293056,275.7930242476981
2023-01-01,Product D,West,CUST1789,returning,Emily Davis,1,71.64175422782871,0.0893509971393318,65.24049205076128
2023-01-01,Product B,West,CUST2019,new,Robert Wilson,3,273.82955104783076,0.025781087402333758,800.3097823767744
2023-01-02,Product B,Central,CUST1303,returning,Sarah Johnson,2,202.5642065806436,0.010891834184673144,400.7158216616347
2023-01-02,Product A,North,CUST3204,new,Robert Wilson,1,119.88498000630842,0.010219361969371898,118.65983200093305
2023-01-02,Product C,North,CUST4511,returning,Emily Davis,3,446.0107366062868,0.027325952699820934,1301.4692049425132
2023-01-02,Product D,Central,CUST4831,new,Emily Davis,2,86.39465741855085,0.01737615931357438,169.78690017480886
2023-01-02,Product B,West,CUST1939,returning,Emily Davis,4,293.080729731649,0.07385974581323307,1085.7354461236503
2023-01-02,Product A,East,CUST1197,returning,John Smith,3,111.55729887104029,0.09429838168160426,303.11287836819037
2023-01-02,Product B,North,CUST3760,new,Mike Brown,2,209.24495170370665,0.026248500790059106,407.50517084719206
2023-01-02,Product C,South,CUST3231,new,Robert Wilson,4,541.4172954533396,0.01451965128846603,2134.2244204872513
2023-01-02,Product D,Central,CUST1048,returning,Robert Wilson,3,78.85220872922969,0.06439079570677647,221.3245567977533
2023-01-02,Product C,South,CUST2625,returning,Emily Davis,4,494.68017629898253,0.047380982839794666,1884.9669734182953
2023-01-02,Product C,Central,CUST3845,returning,Emily Davis,1,437.6999705591123,0.0558953240270377,413.23458887808584
2023-01-02,Product B,North,CUST3621,returning,Mike Brown,3,291.73956130855316,0.081707207094928,803.7070096647952
2023-01-02,Product A,East,CUST1705,returning,Robert Wilson,2,101.48333822360414,0.022566458305205508,198.3864374058162
2023-01-02,Product E,North,CUST2553,returning,Mike Brown,2,1451.7764296840862,0.021369814157032842,2841.5044743683534
2023-01-02,Product A,East,CUST4677,new,Mike Brown,1,85.55299093768082,0.07602278598896867,79.04901421690934
2023-01-02,Product D,South,CUST3541,new,Robert Wilson,1,64.39308769808449,0.0008059103342119789,64.34119264325679
2023-01-02,Product C,Central,CUST2900,new,Emily Davis,1,575.3531273523499,0.010291603074414502,569.4318213380166
2023-01-02,Product A,Central,CUST4904,new,John Smith,4,82.11061031438412,0.05235864852214529,311.24563891597774
2023-01-02,Product C,West,CUST2625,returning,Emily Davis,2,406.48868920943744,0.08634657303414633,742.7795678381207
2023-01-02,Product C,Central,CUST2571,new,Sarah Johnson,2,581.1513581272895,0.05201154145023945,1101.8495603503782
2023-01-02,Product E,West,CUST3177,returning,John Smith,4,1604.165899198017,0.08484822099337397,5872.221105891317
2023-01-02,Product A,South,CUST2985,new,John Smith,2,88.94457737985245,0.09756102008599149,160.53410735911328
2023-01-02,Product A,Central,CUST2639,returning,Mike Brown,1,83.00551126943235,0.04127935506067523,79.57909729774856
2023-01-02,Product B,North,CUST1637,new,John Smith,2,278.9432194195191,0.01613628010553837,548.8842269948502
2023-01-02,Product C,North,CUST3361,returning,Sarah Johnson,1,509.6838325987125,0.05810150933751095,480.07043263980006
2023-01-02,Product C,South,CUST4402,returning,Mike Brown,3,502.32771650380283,0.012595519637935827,1488.0019136576993
2023-01-02,Product A,East,CUST1981,returning,John Smith,2,89.42263738378006,0.09357492615245505,162.10984138847016
2023-01-02,Product C,West,CUST1165,returning,John Smith,3,510.96312170844516,0.09041586944937485,1394.291840407828
2023-01-02,Product A,Central,CUST4343,returning,John Smith,1,83.75493160325166,0.06601973767177313,78.22545299008769
2023-01-02,Product A,Central,CUST2520,returning,Robert Wilson,3,118.66233757522176,0.03929093356048933,341.9999506602641
2023-01-02,Product C,Central,CUST1308,new,Emily Davis,1,572.159787383099,0.05709070537521448,539.4947815340652
2023-01-02,Product A,Central,CUST2395,returning,John Smith,3,95.1610850487639,0.018741194409758223,280.1329579608644
2023-01-02,Product E,East,CUST4170,returning,Sarah Johnson,4,1456.9103639203038,0.020681789313339628,5707.115402901132
2023-01-02,Product A,South,CUST3160,returning,Robert Wilson,4,87.5950131638368,0.06246639742837168,328.4930730352045
2023-01-02,Product D,North,CUST4567,returning,Mike Brown,1,60.56836210123065,0.07201574609309402,56.20648631487384
2023-01-02,Product A,West,CUST2181,returning,Emily Davis,1,103.73985663287407,0.04991086581076065,98.56211056924315
2023-01-02,Product C,South,CUST4216,returning,Sarah Johnson,3,595.7262574801061,0.06832480282896458,1665.0701351932228
2023-01-02,Product A,West,CUST3163,returning,Emily Davis,4,115.09401812531354,0.01817232932281565,452.0099668994169
2023-01-02,Product B,South,CUST4735,returning,John Smith,1,240.17788006543242,0.07345779231214132,222.5349432336155
2023-01-02,Product B,North,CUST1116,returning,John Smith,4,224.5550625944491,0.030767908947794853,870.5838914991069
2023-01-03,Product B,Central,CUST3140,new,Sarah Johnson,3,201.34094538721232,0.06231724245321873,566.3817986332715
2023-01-03,Product C,East,CUST4985,returning,Sarah Johnson,4,548.404490375952,0.004486055762771702,2183.7772690062843
2023-01-03,Product A,West,CUST2772,returning,John Smith,3,112.58298880925528,0.06337585637201773,316.3438364416423
2023-01-03,Product D,South,CUST2091,returning,John Smith,3,69.62173573379873,0.07545693612057366,193.10487860379004
2023-01-03,Product D,South,CUST4893,new,Emily Davis,4,67.76339944800051,0.07553614103176526,250.57925500201802
2023-01-03,Product C,North,CUST2372,returning,Emily Davis,3,467.9749927536132,0.04044854496818508,1347.1382556456979
2023-01-03,Product A,North,CUST1421,returning,Mike Brown,1,88.46983448209679,0.07480160766994025,81.85214863254242
2023-01-03,Product B,South,CUST1185,returning,Sarah Johnson,2,283.4899428364391,0.04917379430189894,539.099333401486
2023-01-03,Product B,North,CUST3661,new,Sarah Johnson,3,280.2354329159264,0.04225484283119446,805.1823862269968
2023-01-03,Product B,West,CUST4767,returning,John Smith,1,290.9548473012139,0.02992320043010606,282.2485470893087
2023-01-03,Product B,South,CUST2705,returning,Emily Davis,2,277.4302682944595,0.057880675451194054,522.7448339499404
2023-01-03,Product A,East,CUST4865,returning,Robert Wilson,2,105.70303875788758,0.04634940438005724,201.6075317405948
2023-01-03,Product C,Central,CUST1699,returning,Mike Brown,1,590.6143694047906,0.04281841483173143,565.3251983300348
2023-01-03,Product B,South,CUST3537,returning,Mike Brown,4,209.71764937707687,0.06711435168240507,782.5703412111056
2023-01-03,Product E,Central,CUST2785,new,John Smith,4,1437.9896238312326,0.09368297393247581,5213.097917546722
2023-01-03,Product D,South,CUST1276,returning,John Smith,4,60.23893214236354,0.024995694639762124,234.93287275643067
2023-01-03,Product A,North,CUST3073,returning,Sarah Johnson,2,107.16796604804676,0.06838664518353432,199.67821675775588
2023-01-03,Product A,Central,CUST4940,returning,Emily Davis,1,111.56643386354925,0.05214456890435895,105.7488502655378
2023-01-03,Product A,Central,CUST2459,new,Emily Davis,3,86.18083319962076,0.035775476329371426,249.29301852432664
2023-01-03,Product C,Central,CUST1414,new,Robert Wilson,4,421.0802754792925,0.046878988050679096,1605.3618331068883
2023-01-03,Product D,West,CUST1372,new,Emily Davis,4,61.363391410243736,0.09587024074078462,221.92187321229068
2023-01-03,Product D,Central,CUST1987,new,Mike Brown,1,74.18675896899546,0.009571455552016174,73.47668370297558
2023-01-03,Product B,West,CUST1443,returning,Mike Brown,2,267.5761292895223,0.051961167580300754,507.34512239004243
2023-01-03,Product A,North,CUST2875,returning,Emily Davis,2,98.48389163062643,0.011730818896239448,194.65718986742135
2023-01-03,Product A,East,CUST3855,returning,John Smith,4,84.70007360849495,0.07691077435072992,312.7429014388071
2023-01-03,Product B,East,CUST3448,new,John Smith,2,285.218150031854,0.09679737654398231,515.2195627320851
2023-01-03,Product D,North,CUST1705,returning,John Smith,3,73.9144274918304,0.03269410243366753,214.4935848842598
2023-01-03,Product C,North,CUST3182,returning,Emily Davis,2,521.1919949562023,0.035846572854427265,1005.018096275721
2023-01-03,Product B,North,CUST2213,returning,John Smith,1,247.42884204312605,0.05165726284459791,234.6473453143698
2023-01-03,Product A,West,CUST1894,returning,Robert Wilson,2,96.20808347125669,0.005630327568183735,191.3328008932127
2023-01-03,Product A,South,CUST3125,returning,Emily Davis,3,88.37397293346841,0.09240417591074332,240.62354637777878
2023-01-03,Product A,South,CUST3824,returning,Robert Wilson,2,83.88072872948358,0.0701499101465166,155.99300629217194
2023-01-03,Product A,East,CUST3756,returning,Mike Brown,1,106.27120418897175,0.03973813904853166,102.0481843000555
2023-01-03,Product A,West,CUST4792,returning,John Smith,4,97.82166554967564,0.08976746726779566,356.1618495574555
2023-01-03,Product B,South,CUST2296,new,John Smith,3,210.4869166532481,0.03772841631046227,607.6367359015463
2023-01-04,Product B,Central,CUST3606,returning,Sarah Johnson,2,208.70389625876587,0.05502265421562618,394.44090788293175
2023-01-04,Product A,South,CUST2797,returning,Emily Davis,4,95.82060679396061,0.08734232380816606,349.8056493114702
2023-01-04,Product A,North,CUST2428,returning,Sarah Johnson,2,96.05977263445153,0.06575603127780232,179.4865264411239
2023-01-04,Product A,North,CUST2861,new,Emily Davis,3,116.15653321041499,0.04368507026151796,333.24668068735104
2023-01-04,Product A,South,CUST2841,returning,Mike Brown,3,88.3545628282296,0.03879867599468695,254.77956831721468
2023-01-04,Product E,South,CUST4843,returning,Robert Wilson,2,1344.0909576132085,0.06078628240809805,2524.7773301631223
2023-01-04,Product B,North,CUST2169,returning,John Smith,4,244.01989979554907,0.012237675732517795,964.1346535582786
2023-01-04,Product E,West,CUST4635,returning,Robert Wilson,2,1410.9736123437808,0.016633160774314214,2775.0093228027035
2023-01-04,Product E,South,CUST2801,returning,Robert Wilson,3,1472.2737248301835,0.08837096696607527,4026.502416384584
2023-01-04,Product E,North,CUST4821,new,Mike Brown,2,1526.5523796682185,0.03974481568990917,2931.7596733946257
2023-01-04,Product E,East,CUST1559,new,Mike Brown,2,1263.5434826422545,0.061225815076184464,2372.3640060665634
2023-01-04,Product A,West,CUST3608,returning,Robert Wilson,3,92.93486248462082,0.034356047477570394,269.22596381033316
2023-01-04,Product E,North,CUST1804,new,Robert Wilson,3,1385.0112730057192,0.008674863550138157,4118.9894675909745
2023-01-04,Product C,Central,CUST4697,returning,Mike Brown,2,463.309933053574,0.0672702994208898,864.2858702647753
2023-01-04,Product A,North,CUST1885,returning,Sarah Johnson,1,92.03854267787264,0.07709842925321356,84.9425156066538
2023-01-04,Product B,Central,CUST2787,new,Sarah Johnson,2,292.61940684317824,0.08047531219896949,538.1415374439924
2023-01-04,Product C,Central,CUST2135,returning,John Smith,3,569.6850758181049,0.060963101165690196,1604.8659207252658
2023-01-04,Product A,South,CUST4680,returning,Sarah Johnson,1,95.6887117373416,0.07059562365800072,88.93350745521332
2023-01-04,Product A,North,CUST3177,new,Emily Davis,3,80.88343381204719,0.024235369513676233,236.76958171823173
2023-01-04,Product A,South,CUST1673,returning,Sarah Johnson,4,106.86802737623427,0.004689646779121992,425.46741630343274
2023-01-04,Product D,East,CUST2573,new,Mike Brown,4,86.87069832799848,0.012211151592428793,343.23962824710054
2023-01-04,Product C,East,CUST2527,returning,Emily Davis,3,422.40234261364117,0.08018258998755151,1165.599086298211
2023-01-04,Product C,South,CUST4364,returning,John Smith,2,560.6341023265462,0.05201946077238856,1062.9404372658144
2023-01-04,Product C,South,CUST3646,returning,Sarah Johnson,3,455.4138499426799,0.06784911686505812,1273.543267247859
2023-01-04,Product A,North,CUST2557,new,Sarah Johnson,1,116.94925583507106,0.016493402685273106,115.0203646648402
2023-01-04,Product A,West,CUST4052,returning,John Smith,3,85.11098611159962,0.0016243443209453701,254.91820969397753
2023-01-04,Product B,North,CUST2396,returning,John Smith,2,296.93025356190986,0.016621543190925292,583.9896290552763
2023-01-04,Product A,North,CUST1515,returning,Robert Wilson,2,94.98450458505884,0.0933436308079483,172.2366121131905
2023-01-04,Product C,Central,CUST2961,returning,Sarah Johnson,3,445.4522107119325,0.01037563435358564,1322.4910843547673
2023-01-04,Product A,Central,CUST3126,returning,Emily Davis,1,93.31123475843182,0.08861712940559931,85.04226099284762
2023-01-04,Product C,South,CUST1784,returning,Robert Wilson,3,525.7468030119986,0.01027682426497818,1561.0313865287108
2023-01-05,Product A,East,CUST2939,returning,Emily Davis,3,94.66550800385825,0.06704466652825093,264.9560717640363
2023-01-05,Product B,Central,CUST1654,new,Sarah Johnson,4,219.19554389957258,0.062350531124733724,822.1143412690374
2023-01-05,Product B,East,CUST2462,new,John Smith,2,200.84955786072095,0.002589607024948515,400.65887286945406
2023-01-05,Product A,North,CUST3280,returning,Robert Wilson,2,93.90476857930734,0.008870253375705562,186.1436189776438
2023-01-05,Product C,East,CUST1454,returning,Robert Wilson,4,571.6240788502207,0.032302734575409386,2212.6362318168362
2023-01-05,Product C,East,CUST4157,new,Robert Wilson,4,483.920012485558,0.05660372104940763,1826.1133563543985
2023-01-05,Product C,West,CUST3046,returning,Mike Brown,1,429.59682947316696,0.04755460374868267,409.1675224758801
2023-01-05,Product A,South,CUST3994,returning,John Smith,4,94.84155051938411,0.050484488189301784,360.2140935293328
2023-01-05,Product C,West,CUST2008,returning,Sarah Johnson,1,561.3669478534528,0.07316477552996402,520.2946611238139
2023-01-05,Product B,West,CUST2390,returning,Emily Davis,1,253.35119252996958,0.08441704489691972,231.964033535479
2023-01-05,Product D,South,CUST1913,returning,Emily Davis,4,70.37632382213572,0.03397688271511179,271.94062288684114
2023-01-05,Product A,East,CUST4390,returning,Mike Brown,4,111.62054430134592,0.017721505687879203,438.56984076250177
2023-01-05,Product E,North,CUST4730,returning,Mike Brown,4,1249.6292769146123,0.010189238806601353,4947.586023169635
2023-01-05,Product B,East,CUST2989,returning,Robert Wilson,2,264.59172413316014,0.024435315546465455,516.252683725966
2023-01-05,Product D,South,CUST3719,returning,Sarah Johnson,3,86.15530583235696,0.08790714802281317,235.74491582880367
2023-01-05,Product C,East,CUST1852,returning,John Smith,4,439.619526551948,0.03382631053323484,1698.9952797213125
2023-01-05,Product C,Central,CUST4896,new,Mike Brown,3,565.9483607414403,0.010657873012867436,1679.7496649424525
2023-01-05,Product B,East,CUST2057,new,Emily Davis,4,296.88146905778046,0.04309878726571906,1136.3449511189
2023-01-05,Product D,South,CUST1380,returning,Robert Wilson,1,82.37201201044077,0.05960639311005951,77.46211348127989
2023-01-05,Product D,Central,CUST3730,returning,Mike Brown,1,77.60809519676722,0.006932833038776476,77.07005123031057
2023-01-05,Product C,South,CUST3170,returning,Mike Brown,1,557.4774053504665,0.04113394664991439,534.5461595002477
2023-01-05,Product E,South,CUST4749,returning,Emily Davis,4,1788.6707447207614,0.08610452995033119,6538.632364042686
2023-01-05,Product B,East,CUST4183,new,Emily Davis,4,278.05560268872136,0.014407878601319958,1096.1976452830615
2023-01-05,Product D,East,CUST4029,returning,Emily Davis,1,73.49353946463968,0.03542362404447746,70.89013195294632
2023-01-05,Product B,East,CUST3293,returning,Robert Wilson,3,296.38222754823505,0.041615399817976156,852.1444879496186
2023-01-05,Product C,West,CUST2246,returning,John Smith,4,552.8745324443471,0.04242968858848881,2117.664952816908
2023-01-05,Product E,Central,CUST3745,returning,Mike Brown,1,1236.9102157435411,0.0480586577326648,1177.4659710390856
2023-01-05,Product A,East,CUST2222,returning,Sarah Johnson,2,101.41859798627817,0.04522151001017181,193.6645916844482
2023-01-05,Product B,West,CUST3165,new,Robert Wilson,1,262.129244904961,0.043054020950719,250.84352690302669
2023-01-05,Product A,North,CUST1017,new,Mike Brown,1,114.68046427642402,0.05412382144338301,108.47351930488259
2023-01-05,Product C,West,CUST3965,new,Sarah Johnson,4,430.77998093875476,0.07339053770018694,1596.6592260287332
2023-01-05,Product A,Central,CUST2218,returning,John Smith,3,115.09843450521522,0.027295937485631496,335.87014449680044
2023-01-05,Product C,East,CUST1617,new,Robert Wilson,3,496.8782371201699,0.052994058693023295,1411.639927976813
2023-01-05,Product A,Central,CUST3267,returning,Mike Brown,4,85.99637012988559,0.0964928601501826,310.79333765407677
2023-01-05,Product D,East,CUST3635,returning,John Smith,2,88.95080731999539,0.09329380670999547,161.3044957903714
2023-01-05,Product A,West,CUST2174,returning,Robert Wilson,4,110.32161684044866,0.05122147076770516,418.6831254736386
2023-01-05,Product A,East,CUST2151,returning,Robert Wilson,4,111.31394471946629,0.0030457808070496807,443.899627372331
2023-01-06,Product A,North,CUST4320,returning,John Smith,2,102.91081106747784,0.09983187565709567,185.27406354643705
2023-01-06,Product B,South,CUST3826,returning,Emily Davis,4,254.08270639715397,0.09726887432610853,917.4734702406867
2023-01-06,Product C,West,CUST3504,returning,Emily Davis,3,462.8700226367497,0.09012960107746489,1263.455196437347
2023-01-06,Product B,East,CUST1545,returning,Robert Wilson,2,277.5234538899056,0.07679699780618315,512.4209716207164
2023-01-06,Product C,East,CUST2884,new,John Smith,4,516.137324287291,0.010147154286603212,2043.5999968986932
2023-01-06,Product B,Central,CUST3104,new,Robert Wilson,4,274.06635810666256,0.03246091685101615,1060.6796513780055
2023-01-06,Product B,South,CUST4799,new,Mike Brown,1,266.27857327436635,0.03712709205053938,256.3924241733227
2023-01-06,Product A,Central,CUST4350,returning,John Smith,2,106.70373542254339,0.09013756495884444,194.17144107908507
2023-01-06,Product A,East,CUST2540,returning,Mike Brown,2,80.70751238453029,0.06502010923981534,150.91980222562876
2023-01-06,Product B,West,CUST3841,returning,Mike Brown,2,203.9811439445754,0.020989762958623072,399.39925617029996
2023-01-06,Product A,North,CUST4045,new,John Smith,3,116.38257709521204,0.017735136165974285,342.95554872924436
2023-01-06,Product C,Central,CUST2221,returning,Sarah Johnson,1,482.2408134423708,0.015577326058017017,474.72879105289564
2023-01-06,Product D,Central,CUST2013,returning,Mike Brown,4,86.31361402986865,0.04461492564571695,329.8509542308518
2023-01-06,Product C,South,CUST2565,returning,Robert Wilson,2,408.0571037555997,0.046951866534563375,777.7961221631726
2023-01-06,Product B,South,CUST3589,returning,Sarah Johnson,1,206.7376871521926,0.008157492561136593,205.051226007142
2023-01-06,Product A,East,CUST2675,returning,Emily Davis,1,109.92018945485613,0.05767023988577563,103.58106576070467
2023-01-06,Product B,West,CUST2574,returning,Emily Davis,2,257.9314466661938,0.08696060824747776,471.0031423558994
2023-01-06,Product B,North,CUST1226,returning,John Smith,1,231.80495725509186,0.08268585609727531,212.6379659168623
2023-01-06,Product A,West,CUST3188,new,Sarah Johnson,2,96.94387449681932,0.09472833396118154,175.5210855559875
2023-01-06,Product A,North,CUST2903,returning,Emily Davis,3,119.14101873556562,0.0118874391177072,353.1742113867749
2023-01-06,Product A,Central,CUST3035,returning,John Smith,2,109.22196547237206,0.013927207266338726,215.40161704240288
2023-01-06,Product A,Central,CUST2711,returning,Emily Davis,2,108.9368045475434,0.05326025194007621,206.2696057835888
2023-01-06,Product A,East,CUST2202,new,Robert Wilson,4,89.07034469602064,0.03860991888374843,342.5253836494391
2023-01-06,Product D,Central,CUST3021,returning,John Smith,2,80.77478480007674,0.04038978641701238,155.024616988243
2023-01-06,Product A,North,CUST2015,returning,Robert Wilson,2,80.7354456860639,0.06923543061544142,150.29138467611935
2023-01-06,Product C,Central,CUST1439,returning,Emily Davis,2,458.670684288202,0.0784769681824988,845.3511991821435
2023-01-06,Product A,West,CUST4150,returning,John Smith,4,94.70137689166125,0.04782340230480723,360.68973938300866
2023-01-06,Product B,South,CUST1174,returning,Emily Davis,1,285.48057787992616,0.04832942849663252,271.68346470410097
2023-01-06,Product A,Central,CUST2367,returning,Sarah Johnson,2,86.4330187631276,0.05819714019143988,162.80572850600103
2023-01-06,Product D,North,CUST3936,returning,Emily Davis,3,81.72855924379235,0.010493017841817488,242.6129400403836
2023-01-06,Product B,North,CUST2243,returning,Sarah Johnson,2,227.17865160801293,0.02523119270696871,442.89332654076367
2023-01-06,Product C,South,CUST4389,returning,Emily Davis,1,522.5888349731212,0.07090605194509164,485.5341238945921
2023-01-06,Product C,East,CUST2936,returning,Emily Davis,1,565.3414719482975,0.00882017037898707,560.3550638434061
2023-01-06,Product B,East,CUST2498,new,Robert Wilson,1,269.46537728101754,0.06323962564655086,252.42448769705942
2023-01-07,Product A,West,CUST4844,new,Sarah Johnson,1,112.53737929297057,0.08315183331122236,103.17968988871968
2023-01-07,Product C,South,CUST2075,returning,John Smith,1,511.45036666368213,0.026610795616929916,497.840265488191
2023-01-07,Product D,West,CUST4770,returning,Robert Wilson,4,64.63247272617639,0.009355940691233555,256.11110057849004
2023-01-07,Product D,East,CUST4280,returning,Sarah Johnson,1,75.1656237517047,0.04158613394079476,72.03977605462292
2023-01-07,Product A,Central,CUST1423,returning,Robert Wilson,4,110.91085678660315,0.055645620582545643,418.9566133254831
2023-01-07,Product D,North,CUST2511,returning,Robert Wilson,4,67.78809851125436,0.034501683992456615,261.79717983187817
2023-01-07,Product C,West,CUST3645,returning,Emily Davis,4,537.576821975983,0.07837917844853973,1981.767969266114
2023-01-07,Product B,West,CUST2065,new,Robert Wilson,2,292.00400525459037,0.026266973533048455,568.6678875540479
2023-01-07,Product A,South,CUST4522,new,John Smith,3,107.68294588097476,0.011428576999797947,319.35684912722684
2023-01-07,Product D,South,CUST2422,returning,Emily Davis,2,72.0282528741914,0.07803655030068818,132.81483299140774
2023-01-07,Product A,West,CUST1140,returning,Emily Davis,3,82.47542806721901,0.07094388646339748,229.87290198719438
2023-01-07,Product A,Central,CUST4009,new,Robert Wilson,4,119.94243226342513,0.07354635285976832,444.48441526928167
2023-01-07,Product B,East,CUST4430,returning,John Smith,1,239.245818622948,0.0032617948341566506,238.4654478476701
2023-01-07,Product C,West,CUST3757,returning,Robert Wilson,3,535.2796737820012,0.06254780604246614,1505.39731370343
2023-01-07,Product D,East,CUST1865,returning,Sarah Johnson,2,86.32356379809507,0.08660356750457565,157.6952704269424
2023-01-07,Product C,North,CUST4200,new,Emily Davis,3,472.62014732680205,0.027690448737780895,1378.5992500944203
2023-01-07,Product D,Central,CUST4364,new,Robert Wilson,4,65.45452958512017,0.08276751947812719,240.14808213100832
2023-01-07,Product B,South,CUST1331,new,Sarah Johnson,2,206.93940859041834,0.08398203522034885,379.1204317793993
2023-01-07,Product A,West,CUST4709,returning,John Smith,1,91.73234443122259,0.07390265577879587,84.95308055694001
2023-01-07,Product A,West,CUST1843,new,Emily Davis,3,92.1577004902011,0.08827343806734221,252.06787027065198
2023-01-07,Product A,North,CUST2212,returning,Robert Wilson,3,86.76247113758866,0.06594229620819976,243.1234636982352
2023-01-07,Product C,South,CUST2238,new,Mike Brown,4,436.6869579732328,0.05986584841970366,1642.1772909613828
2023-01-07,Product A,South,CUST4234,returning,Robert Wilson,3,99.77681218810326,0.09959312420303292,269.51918321781244
2023-01-07,Product C,North,CUST1923,new,Robert Wilson,3,541.8254382971875,0.0865645036372732,1484.7677645188303
2023-01-07,Product A,North,CUST3520,new,Mike Brown,4,107.63750952409863,0.051775135052748014,408.2582517269879
2023-01-07,Product C,Central,CUST3104,returning,Mike Brown,3,407.7598909457775,0.03919980438891485,1175.3273489491735
2023-01-07,Product B,Central,CUST1277,returning,Robert Wilson,3,296.29920038589944,0.039215121144519666,854.0393740432263
2023-01-07,Product A,West,CUST2247,new,Sarah Johnson,2,112.7186809647625,0.07566358037849347,208.37996397485486
2023-01-07,Product B,Central,CUST1540,new,Mike Brown,4,256.3275571976384,0.0907566473926093,932.2565098881737
2023-01-07,Product A,South,CUST1726,returning,Mike Brown,1,107.8968106898736,0.019259902778563043,105.81872860586962
2023-01-07,Product A,South,CUST3322,returning,Emily Davis,4,83.1106137631583,0.06946964708544268,309.34779502390865
